iter	Passed	Remaining
0	198	198640
1	215	107297
2	231	76852
3	246	61275
4	261	52124
5	279	46302
6	297	42173
7	313	38896
8	329	36316
9	344	34088
10	356	32010
11	368	30313
12	378	28719
13	390	27517
14	403	26496
15	422	25966
16	435	25176
17	447	24410
18	458	23692
19	470	23068
20	484	22588
21	500	22257
22	515	21898
23	531	21600
24	551	21505
25	570	21368
26	588	21199
27	605	21018
28	622	20842
29	640	20706
30	654	20458
31	669	20246
32	681	19968
33	691	19639
34	702	19376
35	714	19140
36	726	18896
37	737	18675
38	751	18507
39	764	18350
40	775	18150
41	785	17924
42	797	17743
43	808	17570
44	818	17368
45	829	17206
46	841	17066
47	853	16931
48	866	16807
49	879	16702
50	890	16567
51	902	16452
52	917	16397
53	931	16320
54	945	16247
55	1135	19135
56	1218	20158
57	1246	20246
58	1319	21038
59	1412	22131
60	1454	22390
61	1512	22879
62	1525	22693
63	1542	22554
64	1564	22500
65	1589	22492
66	1605	22362
67	1618	22183
68	1628	21969
69	1640	21790
70	1652	21620
71	1666	21479
72	1676	21284
73	1687	21116
74	1699	20960
75	1709	20781
76	1722	20646
77	1735	20510
78	1753	20447
79	1767	20330
80	1781	20216
81	1793	20082
82	1808	19975
83	1821	19866
84	1838	19788
85	1855	19718
86	1869	19615
87	1883	19515
88	1897	19423
89	1909	19309
90	1924	19219
91	1947	19217
92	1964	19162
93	1976	19048
94	1987	18935
95	2002	18858
96	2016	18773
97	2032	18711
98	2050	18657
99	2066	18598
100	2081	18530
101	2097	18465
102	2112	18393
103	2130	18354
104	2148	18314
105	2167	18276
106	2187	18254
107	2213	18280
108	2232	18248
109	2251	18216
110	2272	18198
111	2290	18157
112	2309	18130
113	2331	18118
114	2350	18091
115	2371	18072
116	2396	18086
117	2414	18045
118	2433	18016
119	2455	18010
120	2481	18029
121	2500	17997
122	2518	17958
123	2536	17920
124	2554	17884
125	2582	17914
126	2604	17902
127	2627	17898
128	2645	17859
129	2665	17836
130	2684	17806
131	2708	17813
132	2729	17796
133	2746	17749
134	2767	17731
135	2798	17780
136	2815	17737
137	2835	17712
138	2857	17700
139	2881	17703
140	2900	17667
141	2922	17657
142	2942	17633
143	2962	17610
144	2983	17589
145	3001	17559
146	3025	17556
147	3047	17543
148	3068	17523
149	3131	17746
150	3146	17693
151	3161	17635
152	3175	17579
153	3189	17523
154	3203	17463
155	3215	17396
156	3229	17341
157	3244	17288
158	3258	17237
159	3273	17187
160	3288	17135
161	3300	17075
162	3319	17047
163	3344	17047
164	3379	17101
165	3394	17052
166	3406	16993
167	3419	16934
168	3429	16864
169	3441	16801
170	3454	16746
171	3470	16706
172	3486	16664
173	3501	16621
174	3515	16573
175	3533	16540
176	3546	16491
177	3558	16433
178	3571	16379
179	3583	16322
180	3593	16260
181	3604	16202
182	3616	16146
183	3626	16082
184	3638	16027
185	3650	15974
186	3659	15911
187	3679	15894
188	3689	15833
189	3701	15779
190	3713	15728
191	3723	15668
192	3735	15618
193	3747	15570
194	3757	15512
195	3771	15469
196	3782	15418
